title,rating
Cobra Kai,8.5
Cobra Kai,8.0
Cobra Kai,8.4
Cobra Kai,8.1
Cobra Kai,8.1
Cobra Kai,9.0
Cobra Kai,7.8
Cobra Kai,8.3
Cobra Kai,8.7
Cobra Kai,8.3
Cobra Kai,9.4
The Crown,8.7
The Crown,8.7
Better Call Saul,8.9
Devil in Ohio,5.9
Devil in Ohio,5.9
Cyberpunk: Edgerunners,8.6
The Sandman,7.8
The Sandman,8.0
The Sandman,7.7
The Sandman,7.9
The Sandman,8.5
The Sandman,8.4
The Sandman,9.2
The Sandman,6.9
The Sandman,7.2
The Sandman,7.5
The Sandman,7.7
The Sandman,7.8
Rick and Morty,9.2
Rick and Morty,8.2
Rick and Morty,8.3
Rick and Morty,7.3
Rick and Morty,8.8
Rick and Morty,8.0
Rick and Morty,8.0
Rick and Morty,9.4
Rick and Morty,7.7
Rick and Morty,9.1
Breaking Bad,9.5
Breaking Bad,9.5
The Imperfects,6.3
The Imperfects,6.3
Blonde,6.2
Blonde,6.3
Blonde,6.3
Stranger Things,8.7
Stranger Things,8.1
Stranger Things,8.1
Stranger Things,8.3
Stranger Things,9.4
Stranger Things,8.1
Stranger Things,8.5
Stranger Things,9.6
Stranger Things,8.6
Stranger Things,8.7
End of the Road,4.7
End of the Road,4.7
The Walking Dead,8.1
The Walking Dead,8.1
Glass Onion: A Knives Out Mystery,8.1
Glass Onion: A Knives Out Mystery,8.1
Do Revenge,6.4
Do Revenge,6.4
I Came By,6.1
I Came By,6.1
No Limit,5.8
No Limit,5.8
1899,9.6
Peaky Blinders,8.8
Peaky Blinders,8.8
Fate: The Winx Saga,6.9
Fate: The Winx Saga,7.0
Fate: The Winx Saga,7.2
Fate: The Winx Saga,7.4
Fate: The Winx Saga,7.4
Fate: The Winx Saga,7.5
Fate: The Winx Saga,7.9
Fate: The Winx Saga,6.9
The Lord of the Rings: The Fellowship of the Ring,8.8
The Lord of the Rings: The Fellowship of the Ring,8.8
Greys Anatomy,7.6
Supernatural,8.4
Supernatural,8.4
American Horror Story,8.0
American Horror Story,8.0
The Accidental Narco,7.4
NCIS,7.8
NCIS,7.8
Friends,8.9
Friends,8.9
Shameless,8.6
Shameless,8.0
Modern Family,8.5
Modern Family,8.5
Ozark,8.5
Echoes,5.9
Echoes,5.9
The Gray Man,6.5
The Gray Man,6.5
Me Time,5.0
Me Time,5.0
Suits,8.5
Vikings,8.5
Vikings,7.5
Vikings,8.5
The Witcher,8.2
The Witcher,8.5
The Witcher,8.2
The Blacklist,8.0
The Blacklist,8.0
Seinfeld,8.9
Lucifer,8.1
Lucifer,8.0
Lucifer,7.5
Lucifer,8.4
Lucifer,9.2
Lucifer,8.4
Lucifer,6.4
Lucifer,8.7
Lucifer,8.7
Lucifer,8.9
Lucifer,9.3
Lucifer,8.3
Lucifer,8.3
Lucifer,8.2
Lucifer,8.1
Lucifer,8.7
Lucifer,9.2
Lucifer,8.1
The Umbrella Academy,7.9
The Umbrella Academy,8.2
The Umbrella Academy,8.0
The Umbrella Academy,8.1
The Umbrella Academy,8.1
The Umbrella Academy,8.2
The Umbrella Academy,8.5
The Umbrella Academy,8.7
The Umbrella Academy,8.3
The Umbrella Academy,8.4
The Umbrella Academy,8.9
The Last Kingdom,8.5
The Last Kingdom,8.3
The Last Kingdom,8.4
The Last Kingdom,8.6
The Last Kingdom,8.9
The Last Kingdom,9.3
The Last Kingdom,8.5
Partner Track,6.8
Love in the Villa,5.3
Love in the Villa,5.3
Black Mirror,8.8
Black Mirror,8.8
Brooklyn Nine-Nine,8.4
Squid Game,8.0
Squid Game,8.0
Gilmore Girls,8.2
Gilmore Girls,8.2
Outlander,8.4
Outlander,8.4
Ófærð,8.0
Ófærð,8.0
Never Have I Ever,7.9
Never Have I Ever,7.4
Never Have I Ever,7.5
Never Have I Ever,7.7
Never Have I Ever,7.6
Never Have I Ever,7.8
Never Have I Ever,8.5
Never Have I Ever,7.6
Never Have I Ever,8.0
Never Have I Ever,8.4
Never Have I Ever,8.7
Never Have I Ever,7.9
Attack on Titan,9.0
Manifest,7.1
Locke & Key,7.3
Day Shift,6.1
Dark,8.7
Dark,8.8
Dark,8.9
Dark,9.0
Dark,9.4
Dark,9.2
Dark,9.5
Dark,9.1
Dark,9.4
Sex Education,8.4
The Lord of the Rings: The Return of the King,9.0
The Vampire Diaries,7.7
Virgin River,7.4
Virgin River,7.9
Virgin River,7.6
Virgin River,7.4
Virgin River,7.6
Virgin River,7.4
Virgin River,7.4
Virgin River,7.6
Virgin River,7.5
Virgin River,7.6
Virgin River,7.9
Virgin River,8.2
Virgin River,7.9
Family Guy,8.2
Fargo,8.9
Animal Kingdom,8.2
Diario de un Gigoló,6.3
How I Met Your Mother,8.3
Heartbreak High,7.6
Heartbreak High,7.8
Community,8.5
Daredevil,8.6
Blue Bloods,7.7
Bee and PuppyCat,8.2
Loving Adults,6.5
Schitts Creek,8.5
Sing 2,7.4
RRR,8.0
Arcane,9.0
The Lørenskog Disappearance,6.1
The Lord of the Rings: The Two Towers,8.8
All Quiet on the Western Front,8.3
American Psycho,7.6
The Hobbit: An Unexpected Journey,7.8
Kleo,7.5
Riverdale,6.6
Riverdale,7.4
Riverdale,6.7
Riverdale,7.5
Riverdale,7.2
Riverdale,7.0
Riverdale,7.4
Riverdale,7.6
Riverdale,7.2
Riverdale,7.0
Riverdale,7.1
Sons of Anarchy,8.6
Mad Men,8.7
The Flash,7.6
The Flash,7.7
The Flash,7.3
The Flash,7.5
The Flash,7.4
The Flash,7.3
The Flash,8.4
The Flash,7.9
The Flash,6.9
The Flash,4.9
The Flash,7.0
The Flash,7.5
Archer,8.6
Dahmer - Monster: The Jeffrey Dahmer Story,8.5
Mr. Robot,8.6
That 70s Show,8.1
You,7.7
Look Both Ways,6.3
365 Days,3.3
I Used to Be Famous,6.6
Titanic,7.9
Bridgerton,7.3
Bridgerton,7.1
Bridgerton,7.5
Bridgerton,7.8
Bridgerton,7.6
Bridgerton,7.9
Bridgerton,7.5
Bridgerton,7.6
Bridgerton,7.9
Sherlock,9.1
Dexter,8.7
Dexter,8.2
Dexter,8.7
Dexter,8.4
Dexter,8.6
Dexter,8.3
Dexter,8.9
Dexter,8.6
Dexter,8.9
Dexter,8.5
Dexter,9.1
Dexter,9.2
Dexter,9.6
Dexter,8.7
Dexter,8.9
Dexter,9.0
Dexter,9.2
Dexter,8.5
Dexter,8.6
Dexter,8.4
Dexter,8.6
Dexter,8.5
Dexter,8.7
Dexter,9.0
Dexter,9.3
New Girl,7.7
The Expanse,8.5
Purple Hearts,6.7
The Gentlemen,7.8
The Good Doctor,8.1
Downton Abbey,8.7
Extraordinary Attorney Woo,8.9
Smallville,7.5
Star Trek: The Next Generation,8.7
BoJack Horseman,8.8
BoJack Horseman,8.5
BoJack Horseman,8.0
BoJack Horseman,9.0
BoJack Horseman,8.0
BoJack Horseman,8.1
BoJack Horseman,9.3
BoJack Horseman,8.5
BoJack Horseman,8.3
BoJack Horseman,8.6
BoJack Horseman,8.9
BoJack Horseman,8.6
BoJack Horseman,8.9
BoJack Horseman,9.2
BoJack Horseman,9.9
BoJack Horseman,9.5
Love; Death & Robots,8.4
Love; Death & Robots,8.1
Money Heist,8.2
Money Heist,7.3
Money Heist,7.0
Money Heist,7.0
Money Heist,7.4
Money Heist,6.8
Money Heist,7.1
Money Heist,8.1
Money Heist,8.2
Orange Is the New Black,8.1
Jurassic Park,8.2
Prison Break,8.3
Billions,8.4
Once Upon a Time,7.7
Titans,7.6
Titans,5.6
The 100,7.6
The 100,7.6
The 100,8.0
The 100,7.3
The 100,7.9
The 100,8.4
The 100,7.5
The 100,7.5
The 100,9.0
The 100,7.7
The 100,8.1
The 100,7.6
The 100,7.6
The 100,4.8
The 100,6.1
The 100,6.4
The 100,6.7
Jaws,8.1
The Catholic School,5.8
South Park,8.7
Spartacus,8.5
Spartacus,7.9
Clueless,6.9
Chesapeake Shores,7.5
Demon Slayer: Kimetsu no Yaiba,8.7
The Queens Gambit,8.6
The Queens Gambit,8.4
The Queens Gambit,8.7
The Queens Gambit,8.4
The Queens Gambit,8.4
The Queens Gambit,8.2
The Queens Gambit,8.4
Pretty Little Liars,7.4
Mindhunter,8.6
Murder; She Wrote,7.1
From,7.6
Spiderhead,5.4
CSI: Crime Scene Investigation,7.7
Evil,7.7
The Lincoln Lawyer,7.7
The Lincoln Lawyer,7.3
Arrested Development,8.7
Heartland,8.4
Mo,7.6
Mo,6.6
Inventing Anna,6.8
Inventing Anna,6.7
Inventing Anna,7.1
Inventing Anna,7.1
Inventing Anna,7.3
Inventing Anna,7.3
Inventing Anna,7.4
Inventing Anna,7.2
Inventing Anna,6.6
Inventing Anna,6.8
It,7.3
Narcos,8.8
The Sinner,7.9
The Sinner,7.4
The Sinner,6.7
The Sinner,7.1
The Sinner,7.0
The Sinner,6.5
Homeland,8.3
The Haunting of Hill House,8.6
Doc Martin,8.4
Hawaii Five-0,7.4
Star Trek: The Original Series,8.4
The Next 365 Days,2.7
Dont Look Up,7.2
Murdoch Mysteries,8.2
The Good Wife,8.4
Shadow and Bone,7.6
Sex/Life,5.4
Gladiator,8.5
The Punisher,8.5
Midnight Mass,7.7
Midnight Mass,7.3
Midnight Mass,7.7
Midnight Mass,8.1
Midnight Mass,8.0
Midnight Mass,8.6
Midnight Mass,8.6
Midnight Mass,8.0
Roswell; New Mexico,6.2
Taxi Driver,8.2
Taxi Driver,8.0
Teen Wolf,7.7
Vikings: Valhalla,7.2
New Amsterdam,8.0
Léon: The Professional,8.5
Arrow,7.5
The Good Nurse,7.8
The Good Place,8.2
The Good Place,7.7
The Good Place,7.7
The Good Place,7.4
The Good Place,8.0
The Good Place,7.3
The Good Place,8.2
The Good Place,8.4
Agents of S.H.I.E.L.D.,7.5
Mother!,6.6
Hustle,7.3
Terim,7.0
365 Days: This Day,2.6
Cheers,7.9
Line of Duty,8.7
Pieces of Her,6.3
The Departed,8.5
Star Wars: The Clone Wars,8.4
Star Trek: Deep Space Nine,8.1
Spider-Man,7.4
Santo,5.0
Delhi Crime,8.5
JoJos Bizarre Adventure,8.4
JoJos Bizarre Adventure,8.2
JoJos Bizarre Adventure,8.4
JoJos Bizarre Adventure,8.6
JoJos Bizarre Adventure,9.0
JoJos Bizarre Adventure,9.4
JoJos Bizarre Adventure,9.6
JoJos Bizarre Adventure,8.2
JoJos Bizarre Adventure,8.6
JoJos Bizarre Adventure,9.0
JoJos Bizarre Adventure,8.6
JoJos Bizarre Adventure,9.3
JoJos Bizarre Adventure,8.9
JoJos Bizarre Adventure,9.2
JoJos Bizarre Adventure,9.0
JoJos Bizarre Adventure,9.4
JoJos Bizarre Adventure,8.9
JoJos Bizarre Adventure,8.8
House of Cards,8.7
American Crime Story,8.4
Beauty and the Beast,7.1
Beauty and the Beast,8.0
Dynasty,7.2
Dynasty,7.7
Dynasty,7.7
Dynasty,7.1
Dynasty,7.6
Dynasty,7.8
Dynasty,7.8
Dynasty,8.3
