 	75833808
'	47958
(	35970
)	35970
,	70866875
-	5065554
.	11911554
/	35896500
0	42832458
1	55805772
2	32676480
3	28504986
4	15448434
5	15940044
6	19458762
7	13626048
8	14057346
9	25351794
:	17948250
A	3614796
B	1324878
C	2529804
D	1432752
E	1115016
F	773358
G	845280
H	911196
I	1019124
J	677406
K	1444734
L	1312926
M	3171258
N	1600626
O	599484
P	6762072
Q	119904
R	797322
S	4747806
T	1126992
U	3518928
V	3848616
W	647382
X	221808
Y	383688
Z	317700
_	24000
a	25639734
b	1630632
c	10418874
d	16557612
e	21653148
f	611442
g	2991330
h	3147240
i	16239816
j	239772
k	1450710
l	8350614
m	3434994
n	16737366
o	13751958
p	875244
q	65940
r	18955446
s	12870774
t	23001882
u	9549636
v	929196
w	1162956
x	929172
y	2194092
z	539496
